Side, Price, Quantity
Bid, 10.50, 100
Ask, 10.75, 50
Ask, 10.80, 150
Bid, 10.60, 80
Bid, 10.55, 200
Ask, 10.85, 100
Bid, 10.65, 120
Bid, 10.70, 60
Ask, 10.90, 90
Bid, 10.58, 150
Ask, 10.82, 70
Bid, 10.62, 50
Bid, 10.68, 80
Ask, 10.95, 120
Bid, 10.53, 100
Ask, 10.77, 50
Ask, 10.87, 150
Bid, 10.64, 80
Bid, 10.57, 200
Ask, 10.88, 100
Bid, 10.66, 120
Bid, 10.73, 60
Ask, 10.92, 90
Bid, 10.59, 150
Ask, 10.80, 70
Bid, 10.61, 50
Bid, 10.67, 80
Ask, 10.97, 120
Bid, 10.52, 100
Ask, 10.78, 50
Ask, 10.89, 150
Bid, 10.63, 80
Bid, 10.56, 200
Ask, 10.90, 100
Bid, 10.67, 120
Bid, 10.71, 60
Ask, 10.93, 90
Bid, 10.60, 150
Ask, 10.82, 70
Bid, 10.62, 50
Bid, 10.69, 80
Ask, 10.98, 120
Bid, 10.54, 100
Ask, 10.76, 50
Ask, 10.88, 150
Bid, 10.66, 80
Bid, 10.58, 200
Ask, 10.91, 100
Bid, 10.69, 120
Bid, 10.72, 60
Ask, 10.94, 90
Bid, 10.61, 150
Ask, 10.79, 70
Bid, 10.63, 50
Bid, 10.68, 80
Ask, 10.99, 120
Bid, 10.55, 100
Ask, 10.77, 50
Ask, 10.89, 150
Bid, 10.64, 80
Bid, 10.57, 200
Ask, 10.90, 100
Bid, 10.66, 120
Bid, 10.73, 60
Ask, 10.92, 90
Bid, 10.59, 150
Ask, 10.81, 70
Bid, 10.61, 50
Bid, 10.67, 80
Ask, 10.96, 120
Bid, 10.53, 100
Ask, 10.75, 50
Ask, 10.86, 150
Bid, 10.65, 80
Bid, 10.56, 200
Ask, 10.89, 100
Bid, 10.67, 120
Bid, 10.71, 60
Ask, 10.93, 90
Bid, 10.54, 150
Ask, 10.78, 70
Bid, 10.62, 50
Bid, 10.68, 80
Ask, 10.97, 120
Bid, 10.55, 100
Ask, 10.77, 50
Ask, 10.88, 150
Bid, 10.64, 80
Bid, 10.57, 200
Ask, 10.90, 100
Bid, 10.66, 120
Bid, 10.73, 60
Ask, 10.92, 90
Bid, 10.59, 150
Ask, 10.80, 70
Bid, 10.61, 50
Bid, 10.67, 80
Ask, 10.95, 120
Bid, 10.52, 100
Ask, 10.76, 50
