Side,Price,Quantity
Bid,130.00,133
Ask,132.00,138
Bid,131.00,136
Ask,133.00,141
Bid,132.00,139
Ask,134.00,144
Bid,133.00,142
Ask,135.00,147
Bid,134.00,145
Ask,136.00,150
Bid,135.00,148
Ask,137.00,153
Bid,136.00,151
Ask,138.00,156
Bid,137.00,154
Ask,139.00,159
Bid,138.00,157
Ask,140.00,162
Bid,139.00,160
Ask,141.00,165
Bid,140.00,163
Ask,142.00,168
Bid,141.00,166
Ask,143.00,171
Bid,142.00,169
Ask,144.00,174
Bid,143.00,172
Ask,145.00,177
Bid,144.00,175
Ask,146.00,180
Bid,145.00,178
Ask,147.00,183
Bid,146.00,181
Ask,148.00,186
Bid,147.00,184
Ask,149.00,189
Bid,148.00,187
Ask,150.00,192
Bid,149.00,190
Ask,151.00,195
Bid,150.00,193
Ask,152.00,198
Bid,151.00,196
Ask,153.00,201
Ask,100.25,50
Ask,100.50,75
Bid,100.20,100
Bid,100.40,50
Ask,100.55,80
Bid,100.35,60
Bid,100.45,70
Ask,100.60,90
Ask,100.70,60
Bid,100.30,50
Bid,100.55,40
Ask,100.65,70
Ask,100.75,60
Bid,100.25,90
Ask,100.80,100
Ask,100.85,50
Bid,100.50,80
Bid,100.70,40
Ask,100.90,70
Bid,100.60,60
Ask,100.95,80
Ask,101.00,50
Bid,100.75,70
Bid,100.80,60
Ask,101.05,100
Ask,101.10,50
Bid,100.85,70
Bid,100.90,80
Ask,101.15,60
Ask,101.20,100
Bid,100.95,50
Ask,101.25,70
Ask,101.30,80
Bid,101.00,60
Bid,101.05,70
Ask,101.35,100
Ask,101.40,50
Bid,101.10,80
Bid,101.15,70
Ask,101.45,60
Ask,101.50,100
Bid,101.20,50
Ask,101.55,70
Ask,101.60,80
Bid,101.25,60
Bid,101.30,70
Ask,101.65,100
Ask,101.70,50
Bid,101.35,80
Bid,101.40,70
Ask,101.75,60
Ask,101.80,100
Bid,101.45,50
Ask,101.85,70
Ask,101.90,80
Bid,101.50,60
Bid,101.55,70
Ask,101.95,100
Ask,102.00,50
Bid,101.65,80
Bid,101.70,70
Ask,102.05,60
Ask,102.10,100
Bid,101.75,50
Ask,102.15,70
Ask,102.20,80
Bid,101.80,60
Bid,101.85,70
Ask,102.25,100
Ask,102.30,50
Bid,101.95,80
Bid,102.00,70
Ask,102.35,60
Ask,102.40,100
Bid,102.05,50
Ask,102.45,70
Ask,102.50,80
Bid,102.10,60
Bid,102.15,70
Ask,102.55,100
Ask,102.60,50
Bid,102.25,80
Bid,102.30,70
Ask,102.65,60
Ask,102.70,100
Bid,102.35,50
Ask,102.75,70
Ask,102.80,80
Bid,102.40,60
Bid,102.45,70
Ask,102.85,100
Ask,102.90,50
Bid,102.55,80
Bid,102.60,70
Ask,102.95,60
Ask,103.00,100
Bid,102.65,50
Ask,103.05,70
Ask,103.10,80
Bid,102.75,60
Bid,102.80,70
